Symbol,Date,Market Cap,Volume,Open,Close
C98,2021-10-16,654597312.0,57007641.0,3.54,N/A
C98,2021-10-15,663318659.0,95337260.0,3.59,3.54
C98,2021-10-14,684487687.0,221079656.0,3.7,3.59
C98,2021-10-13,617588979.0,53037445.0,3.34,3.7
C98,2021-10-12,600449273.0,44394414.0,3.25,3.34
C98,2021-10-11,609583654.0,38095893.0,3.3,3.25
C98,2021-10-10,654598590.0,37154739.0,3.54,3.3
C98,2021-10-09,655880070.0,64423809.0,3.54,3.54
C98,2021-10-08,661618890.0,66605653.0,3.59,3.54
C98,2021-10-07,653131547.0,87448644.0,3.53,3.59
C98,2021-10-06,688693813.0,74042807.0,3.72,3.53
C98,2021-10-05,692170573.0,126585613.0,3.74,3.72
C98,2021-10-04,707838274.0,164287530.0,3.83,3.74
C98,2021-10-03,690384161.0,176801949.0,3.73,3.83
C98,2021-10-02,617824394.0,81155963.0,3.34,3.73
C98,2021-10-01,575417958.0,64919844.0,3.11,3.34
C98,2021-09-30,568609165.0,129410093.0,3.07,3.11
C98,2021-09-29,516181770.0,33569452.0,2.79,3.07
C98,2021-09-28,539201318.0,55062231.0,2.91,2.79
C98,2021-09-27,540336992.0,74848404.0,2.94,2.91
C98,2021-09-26,581128206.0,44238772.0,3.14,2.94
C98,2021-09-25,590727426.0,85823430.0,3.19,3.14
C98,2021-09-24,654091657.0,67876838.0,3.56,3.19
C98,2021-09-23,649106414.0,60060604.0,3.51,3.56
C98,2021-09-22,574615817.0,93913891.0,3.12,3.51
C98,2021-09-21,611386798.0,128151344.0,3.31,3.12
C98,2021-09-20,727513737.0,156205794.0,3.92,3.31
C98,2021-09-19,741328910.0,190663817.0,4.01,3.92
C98,2021-09-18,677570338.0,61356038.0,3.66,4.01
C98,2021-09-17,708380282.0,106811183.0,3.83,3.66
C98,2021-09-16,748008767.0,122372250.0,4.03,3.83
C98,2021-09-15,699990102.0,212635224.0,3.78,4.03
C98,2021-09-14,632847622.0,83136363.0,3.45,3.78
C98,2021-09-13,695032161.0,76544594.0,3.75,3.45
C98,2021-09-12,690524520.0,99102523.0,3.73,3.75
C98,2021-09-11,689933519.0,140682500.0,3.73,3.73
C98,2021-09-10,764996685.0,425273608.0,4.12,3.73
C98,2021-09-09,700926670.0,308047627.0,3.78,4.12
C98,2021-09-08,634058062.0,276956129.0,3.42,3.78
C98,2021-09-07,810884573.0,193498083.0,4.38,3.42
C98,2021-09-06,847237501.0,80073404.0,4.58,4.38
C98,2021-09-05,831901900.0,117633697.0,4.49,4.58
C98,2021-09-04,844861330.0,187969281.0,4.58,4.49
C98,2021-09-03,858269635.0,462665719.0,4.64,4.58
C98,2021-09-02,792293878.0,143807754.0,4.28,4.64
C98,2021-09-01,800939846.0,163722506.0,4.33,4.28
C98,2021-08-31,839239577.0,226503246.0,4.59,4.33
C98,2021-08-30,905745281.0,236016802.0,4.87,4.59
C98,2021-08-29,916084191.0,275134333.0,4.98,4.87
C98,2021-08-28,991775749.0,559159281.0,5.34,4.98
C98,2021-08-27,914736079.0,831538862.0,4.94,5.34
C98,2021-08-26,960685049.0,2421925410.0,5.22,4.94
C98,2021-08-25,992542556.0,1713799514.0,5.16,5.22
C98,2021-08-24,586332487.0,414803691.0,3.2,5.16
C98,2021-08-23,581635584.0,516744286.0,3.15,3.2
C98,2021-08-22,521129018.0,863988989.0,2.78,3.15
C98,2021-08-21,484888547.0,525821754.0,2.62,2.78
C98,2021-08-20,321604618.0,124868263.0,1.77,2.62
C98,2021-08-19,342514571.0,417912311.0,1.85,1.77
C98,2021-08-18,271825571.0,124735835.0,1.45,1.85
C98,2021-08-17,272941438.0,95920219.0,1.48,1.45
C98,2021-08-16,277068192.0,196128722.0,1.5,1.48
C98,2021-08-15,312686202.0,463985719.0,1.73,1.5
C98,2021-08-14,220332568.0,25682893.0,1.19,1.73
C98,2021-08-13,212815195.0,27654053.0,1.15,1.19
C98,2021-08-12,215949898.0,45638749.0,1.18,1.15
C98,2021-08-11,216703787.0,35299142.0,1.17,1.18
C98,2021-08-10,220267801.0,69596276.0,1.2,1.17
C98,2021-08-09,231617093.0,135147471.0,1.24,1.2
C98,2021-08-08,207266993.0,48323163.0,1.12,1.24
C98,2021-08-07,205106621.0,32475012.0,1.11,1.12
C98,2021-08-06,204494173.0,34417519.0,1.1,1.11
C98,2021-08-05,211815488.0,38267538.0,1.14,1.1
C98,2021-08-04,212996841.0,42794192.0,1.15,1.14
C98,2021-08-03,211435539.0,31114737.0,1.15,1.15
C98,2021-08-02,211555204.0,53313888.0,1.14,1.15
C98,2021-08-01,236240019.0,131781465.0,1.28,1.14
C98,2021-07-31,230426745.0,375709805.0,1.25,1.28
C98,2021-07-30,194812342.0,55201515.0,1.05,1.25
C98,2021-07-29,212518440.0,59988054.0,1.15,1.05
C98,2021-07-28,233275986.0,175095540.0,1.26,1.15
C98,2021-07-27,239559254.0,226513388.0,1.29,1.26
C98,2021-07-26,274945044.0,388741627.0,1.47,1.29
C98,2021-07-25,355688828.0,1581192252.0,2.04,1.47
C98,2021-07-24,135654496.0,382760901.0,0.742326,2.04
C98,2021-07-23,135654496.0,382760901.0,0.742326,0.742326
