Name,Symbol,Date,Market Cap,Volume,Open,Close
Terra(Luna),Luna,2021-10-15,14903953276.0,959812936.0,37.14,N/A
Terra(Luna),Luna,2021-10-14,14760721267.0,912624540.0,36.74,37.14
Terra(Luna),Luna,2021-10-13,15127246949.0,1135813742.0,37.59,36.74
Terra(Luna),Luna,2021-10-12,15573255613.0,912620347.0,39.0,37.59
Terra(Luna),Luna,2021-10-11,15797969578.0,658427398.0,39.27,39.0
Terra(Luna),Luna,2021-10-10,17139544600.0,595231134.0,42.69,39.27
Terra(Luna),Luna,2021-10-09,17405044783.0,1183224241.0,43.32,42.69
Terra(Luna),Luna,2021-10-08,18442292100.0,1585131191.0,46.32,43.32
Terra(Luna),Luna,2021-10-07,16901986368.0,1322088565.0,42.02,46.32
Terra(Luna),Luna,2021-10-06,18020514275.0,1280626967.0,44.99,42.02
Terra(Luna),Luna,2021-10-05,18715977484.0,2484195817.0,46.76,44.99
Terra(Luna),Luna,2021-10-04,17218788846.0,1961685715.0,42.97,46.76
Terra(Luna),Luna,2021-10-03,16530599000.0,1380959765.0,41.38,42.97
Terra(Luna),Luna,2021-10-02,15099366082.0,1140762881.0,37.8,41.38
Terra(Luna),Luna,2021-10-01,15292549297.0,1028518484.0,38.38,37.8
Terra(Luna),Luna,2021-09-30,13635222098.0,1061820146.0,34.16,38.38
Terra(Luna),Luna,2021-09-29,13304370474.0,1106852280.0,33.07,34.16
Terra(Luna),Luna,2021-09-28,14813036707.0,1602407318.0,36.76,33.07
Terra(Luna),Luna,2021-09-27,13800893444.0,1361619819.0,34.54,36.76
Terra(Luna),Luna,2021-09-26,15242265906.0,1630889132.0,38.08,34.54
Terra(Luna),Luna,2021-09-25,15880898415.0,3000770492.0,40.04,38.08
Terra(Luna),Luna,2021-09-24,14577174010.0,1515458692.0,36.43,40.04
Terra(Luna),Luna,2021-09-23,13323592444.0,1447406581.0,33.31,36.43
Terra(Luna),Luna,2021-09-22,9941022197.0,1392296742.0,24.95,33.31
Terra(Luna),Luna,2021-09-21,10892429748.0,1582776290.0,27.42,24.95
Terra(Luna),Luna,2021-09-20,13297830919.0,918728238.0,33.05,27.42
Terra(Luna),Luna,2021-09-19,13931989407.0,641903133.0,34.66,33.05
Terra(Luna),Luna,2021-09-18,13876252653.0,993642923.0,34.33,34.66
Terra(Luna),Luna,2021-09-17,15062559841.0,1334036438.0,37.51,34.33
Terra(Luna),Luna,2021-09-16,14650488649.0,810305176.0,36.47,37.51
Terra(Luna),Luna,2021-09-15,14227878835.0,935119080.0,35.52,36.47
Terra(Luna),Luna,2021-09-14,15034045760.0,1457165766.0,37.29,35.52
Terra(Luna),Luna,2021-09-13,15920154234.0,1611209204.0,39.44,37.29
Terra(Luna),Luna,2021-09-12,15729333400.0,2318587957.0,39.02,39.44
Terra(Luna),Luna,2021-09-11,17488963138.0,4540657544.0,43.36,39.02
Terra(Luna),Luna,2021-09-10,12345280792.0,1033903324.0,30.46,43.36
Terra(Luna),Luna,2021-09-09,11928156508.0,1677529875.0,29.39,30.46
Terra(Luna),Luna,2021-09-08,11169439453.0,1581714094.0,27.89,29.39
Terra(Luna),Luna,2021-09-07,12965972946.0,880348086.0,32.43,27.89
Terra(Luna),Luna,2021-09-06,13767711650.0,825773998.0,34.43,32.43
Terra(Luna),Luna,2021-09-05,12610014712.0,446253605.0,31.41,34.43
Terra(Luna),Luna,2021-09-04,12681490527.0,776656580.0,31.67,31.41
Terra(Luna),Luna,2021-09-03,13253385498.0,831216440.0,32.99,31.67
Terra(Luna),Luna,2021-09-02,12666603314.0,858076779.0,31.57,32.99
Terra(Luna),Luna,2021-09-01,12752300610.0,1043928986.0,31.73,31.57
Terra(Luna),Luna,2021-08-31,13347717372.0,1447796649.0,33.36,31.73
Terra(Luna),Luna,2021-08-30,13413845421.0,1207491215.0,33.38,33.36
Terra(Luna),Luna,2021-08-29,14131099968.0,1627462877.0,34.92,33.38
Terra(Luna),Luna,2021-08-28,13105641434.0,1576911034.0,32.64,34.92
Terra(Luna),Luna,2021-08-27,11086712674.0,1007015259.0,27.36,32.64
Terra(Luna),Luna,2021-08-26,12224860952.0,1083259976.0,30.18,27.36
Terra(Luna),Luna,2021-08-25,12218269663.0,2337161954.0,29.88,30.18
Terra(Luna),Luna,2021-08-24,12033052941.0,1042029566.0,29.7,29.88
Terra(Luna),Luna,2021-08-23,11214767967.0,704316163.0,27.66,29.7
Terra(Luna),Luna,2021-08-22,11206853262.0,784423562.0,27.59,27.66
Terra(Luna),Luna,2021-08-21,12367032980.0,1193188612.0,30.45,27.59
Terra(Luna),Luna,2021-08-20,12040377840.0,2336069771.0,29.6,30.45
Terra(Luna),Luna,2021-08-19,12751788023.0,2517063392.0,31.11,29.6
Terra(Luna),Luna,2021-08-18,10367870316.0,1952089523.0,25.16,31.11
Terra(Luna),Luna,2021-08-17,9160476922.0,1436255486.0,22.1,25.16
Terra(Luna),Luna,2021-08-16,7924960799.0,440578548.0,19.26,22.1
Terra(Luna),Luna,2021-08-15,7163085063.0,257778817.0,17.35,19.26
Terra(Luna),Luna,2021-08-14,7283372510.0,302096401.0,17.74,17.35
Terra(Luna),Luna,2021-08-13,6828606298.0,419393289.0,16.6,17.74
Terra(Luna),Luna,2021-08-12,7057467441.0,560652830.0,17.12,16.6
Terra(Luna),Luna,2021-08-11,6859551212.0,639955270.0,16.68,17.12
Terra(Luna),Luna,2021-08-10,5730458699.0,409902346.0,13.96,16.68
Terra(Luna),Luna,2021-08-09,5581167795.0,354779054.0,13.47,13.96
Terra(Luna),Luna,2021-08-08,6051784592.0,471712422.0,14.61,13.47
Terra(Luna),Luna,2021-08-07,6030899541.0,428205067.0,14.53,14.61
Terra(Luna),Luna,2021-08-06,6051510593.0,518467620.0,14.56,14.53
Terra(Luna),Luna,2021-08-05,6057224217.0,782392049.0,14.55,14.56
Terra(Luna),Luna,2021-08-04,6044833876.0,927862416.0,14.58,14.55
Terra(Luna),Luna,2021-08-03,5159021737.0,427062989.0,12.42,14.58
Terra(Luna),Luna,2021-08-02,4909141543.0,462410103.0,11.82,12.42
Terra(Luna),Luna,2021-08-01,4516650416.0,323793491.0,10.86,11.82
Terra(Luna),Luna,2021-07-31,4513488468.0,426563348.0,10.86,10.86
Terra(Luna),Luna,2021-07-30,4638673755.0,533003303.0,11.06,10.86
Terra(Luna),Luna,2021-07-29,4616694296.0,579312457.0,11.05,11.06
